year,best_sigma,N,emp_d,rating_sd
2017,0.5,490.0,2.551716355164913,0.85655433583068
2018,0.5,995.0,1.98355226893154,0.9979195930620444
2019,0.5,1579.0,2.033938391066276,0.9350324789813
2020,0.5,2594.0,2.017112028449265,1.397289841273478
2021,0.5,3014.0,1.6181142553562011,1.0076315110358622
2024,0.5,7407.0,1.5887242364103003,1.2085030437568258
2025,0.5,11677.0,1.6243124965233415,1.1862450339642254
2026,1.0,19814.0,1.0816719162744017,1.525523855704825
