year,N,accept_rate,sigma,predicted_delta,predicted_mi,empirical_delta_normalized,empirical_rating_sd
2017,490,0.4040816326530612,0.5,1.439297578724542,0.5244110025450632,2.551716355164913,0.85655433583068
2017,490,0.4040816326530612,1.0,1.137864639590554,0.27180398387669646,2.551716355164913,0.85655433583068
2017,490,0.4040816326530612,1.5,0.8926144562620881,0.15386089848562734,2.551716355164913,0.85655433583068
2017,490,0.4040816326530612,2.0,0.7196487767997373,0.09603922825626843,2.551716355164913,0.85655433583068
2018,995,0.3386934673366834,0.5,1.461483606445361,0.49927792282409544,1.98355226893154,0.9979195930620444
2018,995,0.3386934673366834,1.0,1.1554042341515127,0.25954844710712477,1.98355226893154,0.9979195930620444
2018,995,0.3386934673366834,1.5,0.9063736458452998,0.1471841969117189,1.98355226893154,0.9979195930620444
2018,995,0.3386934673366834,2.0,0.7307417897655315,0.09196102572141618,1.98355226893154,0.9979195930620444
2019,1579,0.317922735908803,0.5,1.4713253587154482,0.4885009022544784,2.033938391066276,0.9350324789813
2019,1579,0.317922735908803,1.0,1.1631848223018029,0.25427663549184865,2.033938391066276,0.9350324789813
2019,1579,0.317922735908803,1.5,0.9124772411650091,0.1443062683329025,2.033938391066276,0.9350324789813
2019,1579,0.317922735908803,2.0,0.7356626654863974,0.09020110918927104,2.033938391066276,0.9350324789813
2020,2594,0.2648419429452583,0.5,1.5042320762259807,0.45404952971125784,2.017112028449265,1.397289841273478
2020,2594,0.2648419429452583,1.0,1.1891998660538121,0.23735495609324198,2.017112028449265,1.397289841273478
2020,2594,0.2648419429452583,1.5,0.9328851198355058,0.13504413593181908,2.017112028449265,1.397289841273478
2020,2594,0.2648419429452583,2.0,0.7521160227756557,0.08452861082240815,2.017112028449265,1.397289841273478
2021,3014,0.285335102853351,0.5,1.490163442114722,0.4684866701616466,1.6181142553562011,1.0076315110358622
2021,3014,0.285335102853351,1.0,1.1780776345051183,0.24445910183991248,1.6181142553562011,1.0076315110358622
2021,3014,0.285335102853351,1.5,0.9241601238700686,0.1389371905714305,1.6181142553562011,1.0076315110358622
2021,3014,0.285335102853351,2.0,0.7450817063624101,0.08691446390025626,1.6181142553562011,1.0076315110358622
2024,7407,0.3051167814229782,0.5,1.4780093329488841,0.4813084112931631,1.5887242364103003,1.2085030437568258
2024,7407,0.3051167814229782,1.0,1.1684689677728464,0.25075261207525734,1.5887242364103003,1.2085030437568258
2024,7407,0.3051167814229782,1.5,0.9166224657826636,0.1423804715894995,1.5887242364103003,1.2085030437568258
2024,7407,0.3051167814229782,2.0,0.7390046523155795,0.08902274718900571,1.5887242364103003,1.2085030437568258
2025,11677,0.3172047614969598,0.5,1.471413889667741,0.48840497120829524,1.6243124965233415,1.1862450339642254
2025,11677,0.3172047614969598,1.0,1.1632548121632813,0.25422966319848095,1.6243124965233415,1.1862450339642254
2025,11677,0.3172047614969598,1.5,0.9125321457278125,0.1442806096451047,1.6243124965233415,1.1862450339642254
2025,11677,0.3172047614969598,2.0,0.7357069309587685,0.09018541275003777,1.6243124965233415,1.1862450339642254
2026,19814,0.2696578177046533,0.5,1.5006951552475591,0.4576389486630114,1.0816719162744017,1.525523855704825
2026,19814,0.2696578177046533,1.0,1.186403684579247,0.23912298842978652,1.0816719162744017,1.525523855704825
2026,19814,0.2696578177046533,1.5,0.9306916146954465,0.13601363843379166,1.0816719162744017,1.525523855704825
2026,19814,0.2696578177046533,2.0,0.7503475624501866,0.08512298646856098,1.0816719162744017,1.525523855704825
