N,K,sigma,accept_rate,threshold,mean_quality_accepted,mean_quality_rejected,posterior_contrast,mutual_information_bits,tail_capture_top1pct,precision_top1pct,quality_dist
200,200,0.3,0.999999999,-6.200518980142137,5.678409026449067e-09,-5.678409115001782,5.6784091206801905,2.4969314501637973e-08,1.0,0.010036025764068118,gaussian
400,200,0.3,0.5000000000000001,-8.326672808765766e-17,0.7642347942650446,-0.764234794265045,1.5284695885300896,0.702165989647362,0.9999999999999994,0.02007205150806417,gaussian
800,200,0.3,0.25,0.7041879712958363,1.2174989959503393,-0.405832998650113,1.6233319946004523,0.5737070674305144,0.9999999959227602,0.040144102852451236,gaussian
1600,200,0.3,0.125,1.2010000085932124,1.5773753378584312,-0.22533933397977585,1.802714671838207,0.389257437139279,0.9999853455532891,0.08028702945301992,gaussian
3200,200,0.3,0.06249999999999998,1.601668863137136,1.8847560192681005,-0.12565040128454003,2.0104064205526404,0.24481163647826176,0.9982801839122211,0.16030025016772717,gaussian
6400,200,0.3,0.03125000000000001,1.9447491502591356,2.1572266811944694,-0.06958795745788611,2.2268146386523555,0.1475189636596892,0.9702472509015226,0.31159764473044854,gaussian
12800,200,0.3,0.015624999999999986,2.248711173337009,2.404320905476566,-0.03816382389645338,2.442484729373019,0.08641749575461184,0.8422207360361275,0.5409631358360606,gaussian
25600,200,0.3,0.007812500000000007,2.5240056660556265,2.631902319034725,-0.020723640307360076,2.6526259593420853,0.049601222608784884,0.6021948480072481,0.7735863044539107,gaussian
51200,200,0.3,0.0039062499999999957,2.777191882555809,2.8438827214134568,-0.011152481260444904,2.8550352026739017,0.028028531466864445,0.3585278688604317,0.9211379009079135,gaussian
102400,200,0.3,0.0019531250000000026,3.01269113050191,3.0430255174094385,-0.00595504015148617,3.048980557560925,0.01564284409406365,0.19083950408604258,0.9806183310818476,gaussian
200,200,0.3,0.999999999,-2.6995416445739844,-0.0014890137762489548,-1.070449000635557,1.068959986859308,4.740560714177882e-09,1.0,0.00999203426452719,lognormal
400,200,0.3,0.5000000000000001,-0.23413473748744446,0.5991982133311702,-0.6021762430215882,1.2013744563527584,0.5787504606991056,1.0,0.01998406850907031,lognormal
800,200,0.3,0.25000000000000006,0.37561707659527055,1.2516121310092565,-0.4191893967966975,1.670801527805954,0.5863491330206347,1.0,0.03996813701814062,lognormal
1600,200,0.3,0.125,0.9979612885785878,1.9649604932423228,-0.28241037314342765,2.2473708663857503,0.43798470200141115,1.0,0.07993627403628126,lognormal
3200,200,0.3,0.06250000000000001,1.6716926802569825,2.7435762944949587,-0.1844933688012201,2.9280696632961787,0.28900249072576195,0.9999999999999276,0.1598725480725509,lognormal
6400,200,0.3,0.03125000000000001,2.410364550207653,3.5906362552722815,-0.11736402355867634,3.7080002788309576,0.17865595332661752,0.9999998086526994,0.31974503496276396,lognormal
12800,200,0.3,0.015625,3.221455402776689,4.505783778721006,-0.073033027441498,4.578816806162504,0.1061098092562421,0.9965883429071193,0.6373084710398954,lognormal
25600,200,0.3,0.007812500000000003,4.109281465385241,5.483161755760984,-0.04467524138541517,5.5278369971464,0.06133431778213505,0.7676517148482433,0.9818114854804862,lognormal
51200,200,0.3,0.0039062499999999983,5.074426997787585,6.5084560104861575,-0.02701821102297896,6.535474221509136,0.03475849686624863,0.3909361697405219,0.9999993854423213,lognormal
102400,200,0.3,0.0019531250000000013,6.110842542956215,7.555058415862631,-0.016276778897474756,7.571335194760106,0.019399672509398024,0.19546820499674747,0.9999999999999998,lognormal
200,200,0.3,0.9999999990000001,-2.1510660863956126,-0.008130406575589486,-0.40664835572067126,0.39851794914508176,1.5786723154398425e-09,1.0,0.00999103565723765,pareto
400,200,0.3,0.49999999999999994,-0.15582285245179373,0.2770817405563884,-0.29334255450460317,0.5704242950609916,0.28877402338381464,1.0,0.019982071294493236,pareto
800,200,0.3,0.24999999999999994,0.1783953454395672,0.7005979239110395,-0.244373183935823,0.9449711078468624,0.3890990373049151,1.0,0.03996414258898647,pareto
1600,200,0.3,0.125,0.5308887319780018,1.2998434384448962,-0.1949838134625365,1.4948272519074328,0.3683057064769253,1.0,0.07992828517797293,pareto
3200,200,0.3,0.0625,0.9932130810788478,2.0744569800721964,-0.14696956611052767,2.221426546182724,0.2731743759903159,0.9999999999999326,0.1598565703559351,pareto
6400,200,0.3,0.03125,1.615911989157273,3.040431262055418,-0.10647110597505982,3.146902368030478,0.17678033743604002,0.9999999753747045,0.31971313283886116,pareto
12800,200,0.3,0.015625000000000003,2.4398701188444383,4.226522096327392,-0.07534711337571852,4.301869209703111,0.10706470315261213,0.9988038155970919,0.6386614096791347,pareto
25600,200,0.3,0.007812499999999999,3.5108741791247793,5.6424900974452035,-0.05262348181205471,5.695113579257258,0.06240457897606148,0.7758609042664465,0.9922117058343759,pareto
51200,200,0.3,0.003906250000000001,4.868751522737735,7.2595715152891085,-0.036631198826119996,7.296202714115228,0.03546895416096877,0.390975484189739,0.9999999999332319,pareto
102400,200,0.3,0.0019531250000000004,6.5199967645800125,8.990025118781896,-0.025739321897308955,9.015764440679204,0.019798905095390642,0.1954877421079218,0.9999999999999998,pareto
200,200,0.7,0.999999999,-7.310874305622802,4.971467131828943e-09,-4.9714672025764175,4.971467207547884,1.8243217777704766e-08,1.0,0.010036025764068118,gaussian
400,200,0.7,0.5000000000000001,-3.469447076030706e-17,0.6536524902367444,-0.6536524902367447,1.307304980473489,0.41111252253144603,0.9998471241227458,0.020068982975581594,gaussian
800,200,0.7,0.25000000000000006,0.8233196629061688,1.041330826584788,-0.3471102755282627,1.3884411021130507,0.33952146686205553,0.9932740584644119,0.03987409612624326,gaussian
1600,200,0.7,0.12500000000000003,1.4041803645206854,1.3491342225776652,-0.19273346036823788,1.541867682945903,0.23466609149249051,0.9530830173866089,0.07652132566578097,gaussian
3200,200,0.7,0.06250000000000001,1.8726327660194872,1.6120379067950086,-0.10746919378633392,1.7195071005813425,0.15042249780762285,0.8507578377667013,0.13661164112434032,gaussian
6400,200,0.7,0.03125000000000001,2.2737539976463914,1.845082931373567,-0.05951880423785698,1.904601735611424,0.09225335777566142,0.6918253234159185,0.22218165641899962,gaussian
12800,200,0.7,0.015625000000000003,2.6291390944923902,2.0564233926700166,-0.03264164115349232,2.089065033823509,0.05489763378048995,0.5117464747774281,0.3286976512256897,gaussian
25600,200,0.7,0.007812500000000009,2.951006803377063,2.2510744556938356,-0.017724995714124718,2.2687994514079604,0.031946258380170775,0.34753471349546955,0.4464470188877687,gaussian
51200,200,0.7,0.003906250000000003,3.247026046703885,2.432381867133273,-0.009538752420130484,2.441920619553404,0.0182697663288498,0.21951618007206652,0.5639859293772812,gaussian
102400,200,0.7,0.0019531249999999987,3.5223661112178624,2.6027091199245125,-0.005093364226858172,2.6078024841513705,0.010303304074302076,0.13068168131976357,0.6715006562843457,gaussian
200,200,0.7,0.999999999,-4.939601792450921,-0.0014890138946378646,-0.9520601014911622,0.9505710875965243,2.570838989684044e-09,1.0,0.00999203426452719,lognormal
400,200,0.7,0.5,-0.15662768327836835,0.48952956344026444,-0.49250759313068226,0.9820371565709467,0.2864753625215316,0.9999999989781073,0.01998406848864874,lognormal
800,200,0.7,0.25000000000000006,0.5828546996238411,1.065319089439339,-0.3570917162733916,1.4224108057127305,0.3357046608556034,0.9999996960540906,0.039968124869988866,lognormal
1600,200,0.7,0.12500000000000006,1.2323799202287389,1.75247040188709,-0.252054645806966,2.004525047694056,0.29444921076062414,0.9999808992860164,0.07993474719637393,lognormal
